Customer ID,Quantity,TotalPrice,Invoice,Country,Returned
12346,0,0,2,United Kingdom,1
12347,2458,4310,7,Iceland,0
12348,2341,1797.24,4,Finland,0
12349,631,1757.55,1,Italy,0
12350,197,334.4,1,Norway,0
12352,470,1545.41,11,Norway,1
12353,20,89,1,Bahrain,0
12354,530,1079.4,1,Spain,0
12355,240,459.4,1,Bahrain,0
12356,1591,2811.43,3,Portugal,0
12357,2708,6207.67,1,Switzerland,0
12358,248,1168.06,2,Austria,0
12359,1612,6245.53,6,Cyprus,1
12360,1165,2662.06,3,Austria,0
12361,91,189.9,1,Belgium,0
12362,2212,5154.58,13,Belgium,1
12363,408,552,2,Unspecified,0
12364,1506,1313.1,4,Belgium,0
12365,173,320.69,3,Cyprus,1
12367,173,168.9,1,Denmark,0
12370,2353,3545.69,4,Cyprus,0
12371,591,1887.96,2,Switzerland,0
12372,794,1298.04,3,Denmark,0
12373,197,364.6,1,Austria,0
12374,342,742.93,1,Austria,0
12375,177,455.42,3,Finland,1
12377,944,1628.12,2,Switzerland,0
12378,2529,4008.62,1,Switzerland,0
12379,406,850.29,3,Belgium,1
12380,1126,2720.56,5,Belgium,1
12381,783,1803.96,6,Norway,1
12383,1529,1839.31,6,Belgium,1
12384,121,566.16,3,Switzerland,1
12386,354,401.9,2,Australia,0
12388,1462,2780.66,6,Australia,0
12390,353,549.84,1,Belgium,0
12391,300,460.89,1,Cyprus,0
12393,816,1582.6,4,Australia,0
12394,819,1272.48,2,Belgium,0
12395,2113,2998.28,15,Belgium,1
12397,1263,2409.9,2,Belgium,0
12398,1394,1635.66,1,Switzerland,0
12399,1178,1108.65,4,Belgium,0
12401,11,84.3,1,Belgium,0
12402,94,225.6,1,Belgium,0
12403,95,409.7,2,Denmark,1
12405,857,1710.39,1,Finland,0
12406,1809,3280.75,3,Denmark,1
12407,1416,1708.12,5,Belgium,0
12408,1399,2842.57,9,Belgium,1
12409,5543,11056.93,7,Switzerland,1
12410,209,681.08,3,Switzerland,1
12412,829,1226.88,3,Denmark,0
12413,282,694.15,5,France,1
12414,300,562.41,3,Austria,0
12415,77242,123725.45,26,Australia,1
12417,1539,3578.8,12,Belgium,1
12418,407,668.58,1,Switzerland,0
12420,345,600.39,1,Cyprus,0
12421,483,806.27,5,Spain,1
12422,370,803.56,3,Australia,0
12423,1327,1849.11,9,Belgium,1
12424,740,1760.96,2,Australia,0
12425,496,777.2,1,Portugal,0
12426,258,582.73,1,Germany,0
12427,236,708.37,5,Germany,1
12428,3503,7877.2,12,Finland,1
12429,1557,3750.4,4,Denmark,0
12430,117,256.4,1,Norway,0
12431,2868,6416.39,18,Australia,1
12432,1801,5059.32,5,Norway,0
12433,11071,13375.87,7,Norway,0
12434,373,765.19,4,Australia,1
12435,2055,7829.89,2,Denmark,0
12436,211,509.01,1,Norway,0
12437,2918,4896.66,19,France,1
12438,1180,2906.85,2,Norway,0
12441,121,173.55,1,France,0
12442,182,172.06,1,Spain,0
12444,1155,5005.46,5,Norway,0
12445,62,133.4,1,Spain,0
12446,352,1002.31,1,RSA,0
12447,190,476.49,1,Belgium,0
12448,243,449.45,1,Spain,0
12449,1553,4067.29,4,Belgium,0
12450,128,197.88,2,Spain,0
12451,6455,8933.52,6,Switzerland,1
12452,183,428.57,3,Switzerland,1
12453,473,707.09,1,Austria,0
12454,0,5.68E-14,2,Spain,1
12455,2089,2466.86,6,Spain,0
12456,1616,3153.89,4,Switzerland,1
12457,695,1917.78,12,Switzerland,1
12458,506,947.4,2,Switzerland,0
12461,287,826.88,2,Switzerland,0
12462,514,1124.01,4,Spain,1
12463,757,1303.63,7,Belgium,1
12464,112,1212.05,8,Belgium,0
12465,475,733.89,3,Belgium,1
12468,364,724.04,3,Germany,1
12471,7965,18740.92,49,Germany,1
12472,4020,6229.48,13,Germany,1
12473,2363,2848.23,9,Germany,1
